1010;Wien
1020;Wien
1030;Wien
1040;Wien
1050;Wien
1060;Wien
1070;Wien
1080;Wien
1090;Wien
1100;Wien
1110;Wien
1120;Wien
1130;Wien
1140;Wien
1150;Wien
1160;Wien
1170;Wien
1180;Wien
1190;Wien
1200;Wien
1210;Wien
1220;Wien
1230;Wien
1300;Wien-Flughafen
2000;Stockerau
2002;Großmugl
2003;Leitzersdorf
2004;Niederhollabrunn
2011;Sierndorf, Bez. Korneuburg
2013;Göllersdorf
2014;Breitenwaida
2020;Hollabrunn
2022;Immendorf, Niederösterreich
2023;Nappersdorf
2024;Mailberg
2031;Eggendorf im Thale
2032;Enzersdorf im Thale
2033;Kammersdorf
2034;Großharras
2041;Wullersdorf
2042;Guntersdorf
2051;Zellerndorf
2052;Pernersdorf-Pfaffendorf
2053;Jetzelsdorf
2054;Haugsdorf
2061;Hadres
2062;Seefeld-Großkadolz
2063;Zwingendorf
2064;Wulzeshofen
2070;Retz, Niederösterreich
2073;Schrattenthal
2074;Unterretzbach
2081;Niederfladnitz
2082;Hardegg
2083;Pleißing
2084;Weitersfeld, Niederösterreich
2091;Langau bei Geras
2092;Riegersburg, Niederösterreich
2093;Geras
2094;Zissersdorf bei Geras
2095;Drosendorf an der Thaya
2100;Korneuburg
2102;Bisamberg
2103;Langenzersdorf
2104;Spillern
2105;Oberrohrbach
2111;Rückersdorf-Harmannsdorf
2112;Würnitz
2113;Karnabrunn
2114;Großrußbach
2115;Ernstbrunn
2116;Niederleis
2120;Wolkersdorf im Weinviertel
2122;Ulrichskirchen
2123;Schleinbach
2124;Niederkreuzstetten
2125;Neubau, Niederösterreich
2126;Ladendorf
2130;Mistelbach an der Zaya
2132;Frättingsdorf
2133;Loosdorf, Bez. Mistelbach
2134;Staatz-Kautendorf
2135;Neudorf bei Staatz
2136;Laa an der Thaya
2141;Ameis
2143;Großkrut
2144;Altlichtenwarth
2145;Hausbrunn
2151;Asparn an der Zaya
2152;Gnadendorf
2153;Stronsdorf
2154;Unterstinkenbrunn
2161;Poysbrunn
2162;Falkenstein bei Poysdorf
2163;Ottenthal, Bez. Mistelbach
2164;Wildendürnbach
2165;Drasenhofen
2170;Poysdorf
2171;Herrnbaumgarten
2172;Schrattenberg bei Poysdorf
2181;Dobermannsdorf
2182;Palterndorf
2183;Neusiedl an der Zaya
2184;Hauskirchen
2185;Prinzendorf an der Zaya
2191;Gaweinstal
2192;Kettlasbrunn
2193;Wilfersdorf, Bez. Mistelbach
2201;Gerasdorf bei Wien
2202;Enzersfeld bei Wien
2203;Großebersdorf, Niederösterreich
2211;Pillichsdorf
2212;Großengersdorf
2213;Bockfließ
2214;Auersthal
2215;Raggendorf
